Year of occurrence,Month of occurrence,Sex,Council area,Number of deaths
2020,December,Males,Clackmannanshire,34
2020,December,Males,Dumfries and Galloway,101
2020,December,Males,Dundee City,87
2020,December,Males,East Ayrshire,93
2020,December,Males,East Dunbartonshire,48
2020,December,Males,East Lothian,47
2020,December,Males,East Renfrewshire,45
2020,December,Males,Falkirk,81
2020,December,Males,Fife,225
2020,December,Males,Glasgow City,331
2020,December,Males,Highland,121
2020,December,Males,Inverclyde,49
2020,December,Males,Midlothian,56
2020,December,Males,Moray,37
2020,December,Males,Na h-Eileanan Siar,12
2020,December,Males,North Ayrshire,108
2020,December,Males,North Lanarkshire,211
2020,December,Males,Orkney Islands,12
2020,December,Males,Perth and Kinross,101
